D11GemeenteStraat;JAAR bevraging;Storyfragment (Vertel iets over je straat?);TitelVerhaal;M1_Raad je het aan om in jouw straat te komen wonen?;M2_ThemaInVerhaal?_De infrastructuur / inrichting van de straat;M2Thema_De verkeerssituatie;M2Thema_De sociale contacten en activiteiten;M2Thema_Het (on)veiligheidsgevoel;M2Thema_Omgevingsfactoren door mensen;M2Thema_Omgevingsfactoren door klimaat;M2Thema_De bereikbaarheid van voorzieningen;M3_Wat is het gevoel over jouw straat?;D9_Hoeveel invloed heb jij om de leefbaarheid in je straat te beinvloeden? (schaal 0 tot 1);10. Hoe lang wil je in de straat wonen?_Clustered;L1_ScoreLeefbaarheid_ThemaInrichtingvan de straat;L1_ScoreLeefbaarheid_Sociaal;L1_ScoreLeefbaarheid_Omgevingsfactoren;L1_ScoreLeefbaarheid_Verkeersaspecten;16. Geslacht;17. Leeftijd;ModalSplitKLasse van de straat (niet gemotoriseerd verkeer/gemotoriseerde voertuigen);
Jan Breydelstraat /  Berchem;2020;Goede buren, parkeergelegenheid, eenrichtingsverkeer, goede bereikbaarheid, veel licht;Toekomstgericht;Ik raad het eerder aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,7173647;Geen mening;0,36;0,67;0,47;0,57;Man;25 tot 39 jaar;25/75;
Jan Breydelstraat /  Berchem;2021;Toffe straat met leuke buren, dichtbij openbaar vervoer, winkels en restaurants;Kom maar af;Ik raad het eerder aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Geen uitgesproken gevoel;0,6415929;Niet verhuizen;0,27;0,58;0,31;0,44;Vrouw;40 tot 64 jaar;25/75;
Jan Breydelstraat /  Berchem;2022;Leuke buren. Toffe buurtwerking. Rustige straat. Veel parkeermogelijkheden. Dicht bij station en snelwegen. Je kan de ring vermijden om in Brussel te geraken. Dicht bij de binnenstad.;Ideale locatie in Antwerpen;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,5707965;Niet verhuizen;0,56;0,8;0,6;0,8;Man;25 tot 39 jaar;25/75;
Kasteellei /  Wijnegem;2020;De respondent koos ervoor om zijn verhaal niet publiek te delen;Rustig ;Ik raad het heel erg aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat (stoep, bomen, zitbank,â€¦);;;;;Omgevingsfactoren door het klimaat veroorzaakt (wateroverlast, hitte, wind, â€¦);;Gemengd gevoel;0,3;Niet verhuizen;0,37;0,68;0,61;0,64;Man;40 tot 64 jaar;100/0;
Kasteellei /  Wijnegem;2021;Dat ze rekening moeten houden met de fietsstraat en de drukte die ontstaat door sporthal, voetbal, petanqueclub, school en binnenkort scouts en chiro....;Vroeger beter dan nu;Ik heb geen uitgesproken mening;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0,56;Niet verhuizen;0,338;0,446;0,464;0,256;Man;40 tot 64 jaar;75/25;
Kasteellei /  Wijnegem;2022;We wonen in een fietsstraat. Zalig. In een vrij rustige, sociale, vriendelijke buurt, die leeft.;De zevenbunder;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Positief;0,3;Niet verhuizen;0,38;0,38;0,3;0,26;Vrouw;40 tot 64 jaar;100/0;
Kerkstraat /  Mortsel;2020;Een fijne buurt om te wonen. Erg centraal gelegen vlakbij het Fort en andere groene delen van Mortsel. Veilige buurt.Tijdens de spitsuren is dit zeker geen rustige straat, daarbuiten is er veel passage maar niet zoveel dat ik het als een drukke straat zou omschrijven. Af en toe een straatfeest. Sommige mensen zie je vaak, anderen weer helemaal niet.;kerkstraat;Ik raad het eerder aan om in deze straat te komen wonen;;;;Het (on)veiligheidsgevoel;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,5529719;Niet verhuizen;0,76;0,63;0,56;0,56;Vrouw;25 tot 39 jaar;100/0;
Kerkstraat /  Mortsel;2021;Ondanks sluipverkeer toch een rustige straat in een groene omgeving, nabijheid van bushaltes, dicht bij op-en afritten van autostrade. Grote steden en luchthaven in straal van 20km.Kinderopvang,kl7euter-en lagere scholen op 300m,in de omgeving genoeg keuze van middelbare scholen, technische school, atheneum, katholieke school, school voor kinderen met beperking;Leefbare straat;Ik raad het heel erg aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,34;Niet verhuizen;0,478;0,544;0,648;0,44;Vrouw;+65 jaar;75/25;
Kerkstraat /  Mortsel;2022;De respondent koos ervoor om zijn verhaal niet publiek te delen;groene straat;Ik raad het eerder aan om in deze straat te komen wonen;;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Negatief;0,1;Niet verhuizen;0,38;0,56;0,35;0,23;Vrouw;+65 jaar;100/0;
Kerkstraat /  Sint-Lenaarts;2020;Goede buurtwerking;Iedereen kent iedereen;Ik raad het eerder aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;;Positief;0,42964524;Niet verhuizen;0,53;0,47;0,45;0,45;Man;40 tot 64 jaar;100/0;
Kerkstraat /  Sint-Lenaarts;2021;Aangename straat, leuke buren die aan elkaar hangen.    Wel veel verkeer dat veel te snel rijdt en slechte kwaliteit wegdek;Wonen in de Kerkstraat;Ik raad het eerder aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0;Niet verhuizen;0,36;0,674;0,63;0,202;Man;25 tot 39 jaar;100/0;
Klapperstraat /  Beveren-Waas;2020;Te grote verkeersdrukte;Van rustig naar druk;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Negatief;0,28572407;Niet verhuizen;0,49;0,47;0,5;0,22;Man;+65 jaar;75/25;
Klapperstraat /  Beveren-Waas;2021;zeker niet doen , de ene na de andere gaat hier verhuizen !!!!;overlast verkeer , stank industrie , vuil , op 2 dagen tijd is ons terras vuil van zwart wat wat wij ook inademen , afval en vernietiging van omheining door gebruikers wassalon ,;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0;Geen mening;0,016;0,282;0,188;0,268;Vrouw;+65 jaar;100/0;
Klapperstraat /  Beveren-Waas;2022;Blijf er weg.  Gemeente heeft omliggende straten enkel richting gemaakt, goed voor hun.  Nu moet alle verkeer in de Klapperstraat passeren alles van Vrasene en alles wat Beveren wil verlaten.   Temp 29Â° in ons appartement, straatkant, als je die opend zit je zoals naast een autostrade ,de geur ,het lawaai, zeker van die kleine brommers die er rond scheuren. Je moet 't.v. kijken met een hoofdtelefoon op om iets te verstaan door het eeuwig duren geraas van de auto.  NOOIT 5MIN RUST , zelfs na middernacht nog niet.  Achterkant 100 jarige eiken bomen ,prachtig groene muur,  alles weg . Worden 3 woonblokken  100den vogels weg ..is daar niet meer leefbaar om 6u30 wordt je al uit Uw bed geklopt door de bouwwerf en de pomp dag en nacht .  overal wordt 30 per uur als norm ,maar bij ons moet het 50 blijven.   Vraag al 2 jaar om een auto tellen en snelheid te controleren, niet!!!   Als je geen politieke vriendjes heb gebeurt er niets.  Is enkel voor de elite van Beveren waas. ;De meest drukke straat waar je nooit rust hebt,je terras na 2 dagen zwart ziet van de vuiligheid in de lucht en dat ademen wij allemaal in, moorddadig. Zal weer zijn we wisten van niets.;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0;Geen mening;0,084;0,384;0,234;0,24;Vrouw;+65 jaar;100/0;
Louis Wanbecqstraat /  Deurne;2020;Wij wonen in een drukke doorrijstraat waar men constant de snelheidsbeperking tot 30km/uur niet respecteert. Dit brengt veel lawaai met zich mee en een gevaar voor fietsers en voetgangers, o.a. de leerlingen van de omliggende scholen. Onze straat is niet zo breed en daardoor parkeren auto's en  bestelwagens heel vaak op het voetpad. Gevolg: minder mobiele mensen moeten met rollator of scooter op de rijweg. Zij moeten dan ook nog rekening houden met de verlichtingspalen en met een gedeformeerd voetpad! Onze straat heeft ook Ã©Ã©nrichtingsverkeer, maar fietsers rijden vaak tegen de rijrichting. Gevolg: alweer een gevaarlijke situatie! Dit alles maakt dat er in onze straat veel drukte, lawaai, onveilige situaties en alles behalve rust te vinden is!Geen straat dus om aan te bevelen aan wie dan ook! Wij wonen hier al 40 jaar en in al die tijd is er geen enkele verandering, laat staan verbetering aangebracht! De Louis Wanbecqstraat is zonder meer de meest vergeten straat in heel Deurne!;De vergeten straat!;Ik raad heel erg af om in mijn straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief;0,014120566;Verhuizen;0,01;0,2;0,16;0,2;Vrouw;40 tot 64 jaar;50/50;
Louis Wanbecqstraat /  Deurne;2021;Overtuigen: Openbaar vervoer en winkels dichtbij. Dicht bij de stad en Rivierenhof. Straat met veel licht. Sociale blokken worden vernieuwd. Betaalbaar wonen (?)Niet overtuigen: veel verkeer en er wordt dikwijls te hard gereden, weinig sociale cohesie (geen of weinig contact met buren), vaak sluikstort en vuile aanblik. Weinig groen. Wegdek en trottoir in slechte staat.;straat met veel potentiÃ«el, maar dringend nood aan opwaardering.;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Gemengd gevoel;0,5631071;Geen mening;0,07;0,35;0,19;0,23;Vrouw;25 tot 39 jaar;50/50;
Louis Wanbecqstraat /  Deurne;2022;De straat is niet ver van het stadscentrum. Ligt ook midden in Deurne, waardoor het Rivierenhof binnen wandelafstand is.Al bij al valt het verkeer in de straat mee.We kennen niet veel buurtbewoners, maar zeggen wel goeiedag.;rustig wonen in Deurne centrum;Ik heb geen uitgesproken mening;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Geen uitgesproken gevoel;0,17290434;Niet verhuizen;0,18;0,46;0,3;0,27;Man;40 tot 64 jaar;50/50;
Nekkerspoelstraat /  Mechelen;2020;Ik zou het afraden. Ik vind de buurt en de stad ok, maar mijn straat is niet aangenaam.Te veel verkeer, te veel vrachtwagens en geen initiatief van de stad om het te verbeteren. Volgens de buren die hier al langer wonen, is het al jaren zo. Ik probeer ondertussen zelf contact te zoeken met de stad om verbetering te vragen. Het contact met de buren is wel vriendelijk. Wat dat betreft woon ik ok.Mijn huisje is wel super tof, mijn kleine oase.;Hoop doet leven;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Gemengd gevoel;0,009037121;Verhuizen;0,19;0,56;0,21;0,44;Vrouw;25 tot 39 jaar;75/25;
Nekkerspoelstraat /  Mechelen;2021;ik zou hem afraden er te komen wonen, de voornaamste reden is, teveel verkeer id straat, dagelijks rijden er honderden autos, bussen, motos, bromfietsen door de straat in beide richtingen.  Als fietser kan je een gemerkte oversteek vd baan maken, alleen het verkeer dat van links komt, kan de fietser opmerken, alle verkeer van rechts weet niet dat dit een oversteekplaats is.     Er wonen in deze buurt tamelijk veel  nieuwe belgen, wat op zich geen probleem is maar ze veroorzaken vrijveel ongemakken, slenterend huisvuil, sluikstorten en nachtlawaai.;niet altijd leuk;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Negatief;0,49;Niet verhuizen;0,366;0,548;0,442;0,314;Man;+65 jaar;75/25;
Nekkerspoelstraat /  Mechelen;2022;De respondent koos ervoor om zijn verhaal niet publiek te delen;Niet voor zondagsfietsers;Ik heb geen uitgesproken mening;;De verkeerssituatie;De sociale contacten & activiteiten;;;;;Positief;0,24;Niet verhuizen;0,488;0,522;0,514;0,458;Vrouw;40 tot 64 jaar;75/25;
Pieter Nollekensstraat /  Kessel-Lo;2020;Een warme straat, betrokken buren, goede mengeling jong en oud, actief buurtleven met straatfeest,speelstraat, deelatelier, solidariteit als iemand iets overkomt, hulpvaardigheid, dagelijks klappen in Coronatijd,...;Een warme, betrokken woonstraat;Ik raad het heel erg aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;;Positief;0,6978022;Niet verhuizen;0,39;0,81;0,87;0,67;Vrouw;40 tot 64 jaar;25/75;
Pieter Nollekensstraat /  Kessel-Lo;2021;* Veel sociaal engagement, toffe buurtsfeer  * Leuke initiatieven:  ** Speelstraten  ** Zomerse buurtbar met gepimpte caravan als bar  ** Deelatelier met talloze handige spullen (verkeersborden, aanhangwagen, hakselaar, partymateriaal,...)  ** Eigen deelauto systeem met 10-tal gezinnen  ** Eigen deelbakfiets met 6-tal gezinnen  ** Nieuwjaarsreceptie  * Leuke mix van verschillende leeftijden   * Goede straatwerking die op de hoogte is van verschillende initiatieven die gesponsord worden door het stad. (aanplant bomen, geveltuintjes, bloembakken)  * Twee geweldige muurschilderingen  * Op wandel- of fietsafstand van zowat alles: centrum Leuven, station en OV, supermarkten, scholen, doe-het-zelf winkels, park, sport, ...  * Toch rustig gelegen door straatknip en dus enkel lokaal verkeer  * Toch relatief grote tuinen voor zo dicht aan het station te wonen;Sharing is caring;Ik raad het heel erg aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,71;Niet verhuizen;0,484;0,748;0,718;0,69;Man;25 tot 39 jaar;25/75;
Pieter Nollekensstraat /  Kessel-Lo;2022;De respondent koos ervoor om zijn verhaal niet publiek te delen;De beste straat!;Ik raad het heel erg aan om in deze straat te komen wonen;;;De sociale contacten & activiteiten;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Geen uitgesproken gevoel;0,83;Niet verhuizen;0,53;0,47;0,45;0,45;Man;40 tot 64 jaar;25/75;
Tervuursevest /  Leuven;2020;Houd rekening met lawaai de hele dag door, in de zomer ook tot ver na 24u van doorgaand verkeer, auto's maar ook zwaar vervoer. Soms donder je uit bed. Er zal zeker speciale beglazing nodig zijn en liefst ook rolluiken. Er is slechts parking aan 1 kant van de straat en soms moet je echt een plaatsje zoeken. Jammer genoeg is er weinig groen en de stoep is vaak in slechte staat.;Weet waar je aan begint;Ik heb geen uitgesproken mening;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief;0,14739099;Niet verhuizen;0,08;0,31;0,36;0,4;Vrouw;40 tot 64 jaar;100/0;
Tervuursevest /  Leuven;2021;Ik, 21 jaar oud, vind het extreem moeilijk om op het voetpad te lopen. De tegels staan scheef waardoor ik heel vaak struikel. Vaak staan er ook fietsen langs de huizen waardoor ik op het zeer smalle fietspad wandel - ook niet ideaal. Ook is het wegdek in redelijk slechte straat terwijl op zoveel andere plaatsen in Leuven de straten worden heraangelegd.     Ons gezin woont op de ring waardoor er veel verkeer voorbij komt en wanneer een vrachtwagen ons huis passeert voelen we ons huis schudden door de trillingen die veroorzaakt worden.     Ook ontbreekt er groen in onze straat waardoor de straat er niet zo heel gezellig uitziet. In de zomermaanden kan het enorm warm worden dus door wat groen te voorzien zou er een koeler microklimaat kunnen ontstaan waardoor het aangenamer is voor zowel voetganger, fietser als autobestuurder.      ;Wandelen op het fietspad;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;Omgevingsfactoren door het klimaat veroorzaakt (wateroverlast, hitte, wind, â€¦);;Gemengd gevoel;0,09;Verhuizen;0,056;0,262;0,404;0,292;Vrouw;16 tot 24 jaar;100/0;
Tervuursevest /  Leuven;2022;De overheid (AWV, ...) geeft in onze woonstraat geen prioriteit aan de woonfunctie.;Tweederangsburgers;Ik raad heel erg af om in mijn straat te komen wonen;De infrastructuur / inrichting van de straat;De verkeerssituatie;;;;;;Negatief ;0,11;Niet verhuizen;0,032;0,648;0,318;0,21;Man;40 tot 64 jaar;25/75;
Zomerlaan /  Zomergem;2020;leuke buren , en aan het drukke verkeer wen je vlug ! men voorziet een mobiliteitsstudie en de inwoners krijgen inspraak ! we wonen dicht bij de dorpskern .;leven in de straat !;Ik heb geen uitgesproken mening;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,44;Niet verhuizen;0,144;0,318;0,366;0,022;Vrouw;+65 jaar;100/0;
Zomerlaan /  Zomergem;2021;Hou je ervan om in een zone 30 te wonen waar meestal meer dan 50 wordt gereden? Geniet je ervan om vanaf 5u 's morgens uit jouw bed te trillen door voorbijrijdende vrachtwagens, zware tractoren en andere bestelwagens met losliggend materiaal in hun aanhangwagen? Dan is mijn straat the place to be!;Een snelweg als dorpskern;Ik raad heel erg af om in mijn straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0,23;Verhuizen;0,386;0,49;0,65;0,364;Man;40 tot 64 jaar;100/0;
Zomerlaan /  Zomergem;2022;Onze straat behoort tot een van de mooiste straten die naar de kerk leiden, de winkels en beetje verder de lagere school en middelbare school.  In het begin van de straat zijn er bomen langs beide kanten van de weg,  deze straat is het verlengde van een gelijke straat met bomen een fietspad en berm.  We hebben een fietspad tot ongeveer halfweg.  Er is ook een geasfalteerde berm tussen fietspad en rijbaan en een stukje open sloot.  De lijn heeft aan beide kanten een halte. De straat begint aan het bordje bebouwde kom en waar het fietspad eindigt kom je in de zone 30.  Een snelheidsmeter toont de auto's de snelheid waarmee de zone 50 binnen gereden wordt en parkeren kan niet altijd op het drukke dorpsplein.  Een aantal alternatieven zijn voorzien.    Jammer genoeg houden veel bestuurders zich niet aan de snelheid en met open raam op de kamer is er 's nachts tgv deze snelheidsduivels heel wat lawaai en heel wat opwaaiend stof. Bij begin en einduren van school komen best heel wat auto's voorbij.  In de vroege morgen komen  veel tractors met hoge snelheid voorbij.  Zwaar transport is relatief.   De bomen worden groot en zijn slecht onderhouden met veel dorre takken.  Een boom is sinds 2 jaar op het einde van zijn leven.  De open sloot met sterk bevuild slip wordt niet gereinigd.  Gemeente reageert op meldingen, maar alles blijft bij het oude.  Gescheiden riooleringen zijn er niet.  ;Mooi,  groene,  slecht onderhouden, drukke straat met kerkzicht ;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Negatief;0,01;Niet verhuizen;0,488;0,522;0,514;0,458;Man;40 tot 64 jaar;100/0;